question_id,student_id,final_total,final_scores_per_point,final_buckets_per_point,final_feedback_per_point,adjustment_note,status,updated_at
19_20-6-2-python,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The student solution does not allocate or initialize a DP table at all, simply returning 0 immediately which fails to implement the required dynamic programming structure."", ""2"": ""The solution contains no loops whatsoever, failing to implement both the item iteration and capacity iteration required by the dynamic programming approach."", ""3"": ""The student's solution completely skips the capacity feasibility check by unconditionally returning 0, failing to compare item volumes with the current capacity as required."", ""4"": ""The student's solution completely ignores the recurrence relation and simply returns 0, failing to implement any logic for comparing including/excluding items as required by the rubric point."", ""5"": ""The solution simply returns 0 for all inputs without considering any items, their volumes, values, or the knapsack capacity, failing to address the problem requirements entirely.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-4-1-python,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The solution completely skips the required traversal logic and simply returns the insert node without modifying the existing tree structure or establishing parent/child relationships."", ""2"": ""The student's solution completely omits the parent tracking logic entirely, failing to maintain a separate pointer (like y) during traversal to identify the insertion point's parent as required by the rubric."", ""3"": ""The solution does not attach the insert node as a left or right child of any parent node, completely omitting the key comparison and tree traversal logic required for proper insertion."", ""4"": ""The student's solution does not set insert.parent at all, completely omitting the assignment that establishes the parent link as required by the rubric point."", ""5"": ""The solution completely ignores the existing root and simply returns the new node without modifying the tree structure or establishing any parent/child relationships.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-4-2-java,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0}",{},"{""1"": ""The student's solution does not implement any logic to select y based on the number of children in the node, completely skipping the conditional check for whether delete has one child or two children."", ""2"": ""The student's solution does not implement the required treeMinimum helper function, which is essential for the delete operation as specified in the rubric point."", ""3"": ""The student's solution does not implement any logic to identify x as y's non-null child, instead returning the root immediately without handling the promotion of child nodes."", ""4"": ""The student's solution does not implement any logic to update x.parent or modify y.parent's child pointers, completely omitting the splicing operation required to remove node y from the tree."", ""5"": ""The student's solution does not include the key-copying step (delete.key = y.key) that is required when y is the in-order successor (y != delete), as seen in the sample solution."", ""6"": ""The solution simply returns the original root without modifying the tree structure, failing to handle any deletion cases and leaving the tree unchanged.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-4-2-python,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0}",{},"{""1"": ""The student's solution does not implement any logic to select the node y based on the number of children, completely omitting the conditionals and tree_minimum function call required to determine which node to physically remove."", ""2"": ""The student's solution does not implement the required tree_minimum helper function, which is essential for correctly finding the minimum node in the subtree as specified in the rubric point."", ""3"": ""The student's solution contains no code to identify x as y's non-null child, instead simply returning the root unchanged without any tree modification."", ""4"": ""The student's solution does not implement the splicing logic at all, failing to update x.parent or modify y.parent's child pointer (or root) to x as required by the rubric point."", ""5"": ""The student's solution does not implement the key-copying step where delete.key is updated to y.key when y is the in-order successor, which is required to maintain the tree's logical structure."", ""6"": ""The solution simply returns the original root without modifying the tree structure, failing to handle all deletion cases (leaf, one child, two children) as required.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-5-1-java,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The solution incorrectly returns only the start node without implementing any loop to process the queue, failing to use the required queue structure for BFS traversal."", ""2"": ""The student's solution does not implement a queue or dequeue any nodes from the front, instead returning only the start node immediately, which completely fails to adhere to the FIFO principle required for breadth-first search."", ""3"": ""The solution incorrectly adds the start node to visited before processing and immediately returns it, skipping all queue processing and failing to check nodes against visited before processing as required."", ""4"": ""The solution immediately returns only the start node without processing the queue or adding any neighbors from the adjacency list to the queue."", ""5"": ""The solution incorrectly returns only the start node without processing the queue or exploring any adjacent nodes, failing to perform breadth-first traversal as required.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-5-1-python,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The solution does not implement any loop structure to process the queue, and immediately returns only the start node without initializing or using a queue as required."", ""2"": ""The student's solution does not implement a queue at all, simply returning a list containing only the start node, which completely fails to process nodes in FIFO order as required by BFS."", ""3"": ""The solution does not implement any visited tracking mechanism, which would cause infinite loops and duplicate entries in the traversal order."", ""4"": ""The solution returns only the start node without processing any neighbors, failing to enqueue any adjacent nodes as required by the BFS algorithm."", ""5"": ""The solution returns only the start node without processing any adjacent nodes, failing to implement the queue-based traversal and node visiting logic required for BFS.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-5-2-java,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The solution lacks a loop structure entirely, immediately returning only the start node without processing the stack or traversing any adjacent nodes."", ""2"": ""The solution does not use a stack or perform any LIFO pop operations, instead immediately returning only the start node without processing the adjacency list."", ""3"": ""The solution only adds the start node to the visited list and immediately returns it, completely omitting the required check-and-add logic for all nodes during traversal."", ""4"": ""The solution fails to push any neighbors onto the stack and returns only the start node, completely omitting the core DFS traversal logic required to visit all reachable nodes."", ""5"": ""The solution only returns the start node without traversing any edges, completely failing to implement DFS as required by the task.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-5-2-python,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The solution does not implement any loop or stack structure for DFS traversal, instead immediately returning a list containing only the start node."", ""2"": ""The student's solution does not implement a stack or LIFO structure, instead immediately returning only the start node without processing the graph."", ""3"": ""The student solution does not implement any visited tracking mechanism, simply returning a list containing only the start node without checking or marking any nodes during traversal."", ""4"": ""The solution returns only the start node without processing any neighbors, failing to implement the required neighbor pushing logic that iteratively adds unvisited nodes to the stack."", ""5"": ""The solution returns only the start node without performing any traversal, failing to visit any other nodes in the graph as required by depth-first search.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-6-1-java,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The student did not allocate a 2D DP table for edit distance calculation and omitted all nested loops required to fill it, instead returning only the length difference between the strings."", ""2"": ""The student's solution completely omits the base case initialization for the edit distance matrix, instead returning only the length difference between the strings, which fails to account for insertion and deletion costs as required."", ""3"": ""The student's solution completely ignores character comparisons and returns only the length difference, failing to handle the case where matching characters should use the diagonal value from the previous iteration as required."", ""4"": ""The solution completely ignores the recurrence relation and returns only the length difference, failing to implement the required 1 + min of three neighbors when characters mismatch."", ""5"": ""The solution incorrectly returns only the absolute difference in string lengths, completely ignoring the actual character comparisons and required operations (insert, delete, replace) that define edit distance.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
19_20-6-1-python,mut_wrong,0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}",{},"{""1"": ""The student's solution does not allocate a 2D DP table or implement any nested loops for bottom-up computation, instead returning a simple length difference which is unrelated to the required dynamic programming structure."", ""2"": ""The student's solution completely omits the base case initialization for the edit distance matrix, returning only the length difference instead of properly setting edDis[i][0] = i and edDis[0][j] = j as required."", ""3"": ""The student's solution completely ignores the character match case by returning only the length difference, whereas the rubric point requires handling the scenario where a[i-1] == b[j-1] by setting edDis[i][j] to edDis[i-1][j-1]."", ""4"": ""The solution completely ignores the recurrence relation and returns only the length difference, failing to implement the required 1 + min(...) logic when characters differ."", ""5"": ""The solution incorrectly returns only the absolute difference in string lengths, completely ignoring the required insert, delete, and replace operations that define edit distance.""}",bulk-accepted from approach_2,finalized,2026-06-24T14:27:17+00:00
