question_id,student_id,model,approach,run,total,scores_per_point,buckets_per_point,format_ok,feedback_per_point,time_seconds,median,run_std,mae,spearman_rho,cohen_kappa,leniency,feedback_contradiction_rate
19_20-1-1-java,2SBCAEOV,gpt-oss-120b,approach_1,run_1,90.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 7, ""6"": 18}",,True,"{""1"": ""The student provides a gcd function with correct signature and overall structure, matching the expected pattern."", ""2"": ""The function includes a base case `if (r == 0) return b;` which correctly terminates the recursion."", ""3"": ""The recursive call `gcd(r, b)` reduces the problem size and, together with the initial swap, ensures progress toward termination."", ""4"": ""The lcm function returns `(a*b)/(gcd(a, b))`, exactly the required formula and proper function definition."", ""5"": ""The gcd works for positive integers but crashes when either argument is zero because it attempts `a % b` with `b == 0`, so it is not correct for all non\u2011negative inputs."", ""6"": ""Assuming positive inputs, the lcm function produces the correct least common multiple using the provided gcd.\n\nTOTAL: 90""}",76.8157,90.0,2.0548046676563256,,,,,0.6862745098039216
19_20-1-1-java,2SBCAEOV,gpt-oss-120b,approach_1,run_2,88.0,"{""1"": 15, ""2"": 10, ""3"": 15, ""4"": 20, ""5"": 10, ""6"": 18}",,True,"{""1"": ""The student provides a gcd function with the correct signature and overall structure."", ""2"": ""The function includes a base case `if (r == 0) return b;` but does not guard against `b == 0`, which can cause a division\u2011by\u2011zero error."", ""3"": ""The recursive step uses `int r = a % b;` followed by `return gcd(r, b);`, correctly reducing the problem size each call."", ""4"": ""The lcm function implements the required formula `(a*b)/gcd(a,b)` and has the proper definition."", ""5"": ""While the gcd works for most positive inputs, it fails when the second argument is zero, so it is not correct for all non\u2011negative integers."", ""6"": ""The lcm function returns the correct least common multiple for all positive integer inputs, assuming gcd works for those cases.\n\nTOTAL: 88""}",8.7835,90.0,2.0548046676563256,,,,,0.6862745098039216
19_20-1-1-java,2SBCAEOV,gpt-oss-120b,approach_1,run_3,93.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 10, ""6"": 18}",,True,"{""1"": ""The student provides a gcd function with the necessary swap and recursive structure, matching the expected layout."", ""2"": ""The base case `if (r == 0) return b;` correctly terminates recursion."", ""3"": ""The recursive call `gcd(r, b)` after computing `r = a % b` correctly reduces the problem toward termination."", ""4"": ""The lcm function implements the formula `(a*b)/(gcd(a,b))` exactly as required."", ""5"": ""The gcd implementation fails when either argument is zero because it attempts `a % b` with b = 0, so it is not correct for all non\u2011negative inputs."", ""6"": ""For positive inputs the lcm function returns the correct result, assuming gcd works for those cases.\n\nTOTAL: 93""}",23.093,90.0,2.0548046676563256,,,,,0.6862745098039216
19_20-1-1-java,2SBCAEOV,qwen3:14b,approach_1,run_1,100.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 17, ""6"": 18}",,True,"{""1"": ""The gcd function is present with correct parameter types and return type, and is defined before being used in the lcm function."", ""2"": ""The base case correctly checks if the remainder is zero and returns b, which terminates the recursion properly."", ""3"": ""The recursive step correctly reduces the problem by calling gcd(r, b) after computing the remainder, ensuring progress toward termination."", ""4"": ""The lcm function correctly implements the formula (a * b) / gcd(a, b) with appropriate parameter types and return type."", ""5"": ""The gcd function correctly computes the GCD for all valid non-negative inputs, including cases where a and b are swapped and when the remainder is zero."", ""6"": ""The lcm function correctly returns the LCM for all valid positive integer inputs using the formula and properly handles the division.\n\nTOTAL: 100""}",153.2471,100.0,0.0,,,,,0.21568627450980393
19_20-1-1-java,2SBCAEOV,qwen3:14b,approach_1,run_2,100.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 17, ""6"": 18}",,True,"{""1"": ""The gcd function is present and structurally correct with proper parameter handling, recursive calls, and a clear implementation of the Euclidean algorithm."", ""2"": ""The base case correctly returns `b` when `r == 0`, ensuring termination of the recursion for valid non-negative inputs."", ""3"": ""The recursive step correctly reduces the problem by calling `gcd(r, b)` after computing the remainder, progressing toward the base case."", ""4"": ""The lcm function uses the correct formula `(a * b) / gcd(a, b)` and is properly structured with the required parameters and return type."", ""5"": ""The gcd function correctly computes the greatest common divisor for all valid positive integer inputs and handles edge cases like when one input is zero."", ""6"": ""The lcm function correctly computes the least common multiple for all valid positive integer inputs using the formula and gcd implementation.\n\nTOTAL: 100""}",73.2563,100.0,0.0,,,,,0.21568627450980393
19_20-1-1-java,2SBCAEOV,qwen3:14b,approach_1,run_3,100.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 17, ""6"": 18}",,True,"{""1"": ""The gcd function is present with correct parameters and uses a recursive structure similar to the sample solution, including the necessary swapping of a and b when a < b."", ""2"": ""The base case correctly checks if the remainder r is zero and returns b, ensuring proper termination of the recursion as required by the rubric."", ""3"": ""The recursive step correctly reduces the problem by calling gcd(r, b) after computing the remainder, which ensures progress toward termination with each recursive call."", ""4"": ""The lcm function correctly implements the formula (a * b) / gcd(a, b), has the correct parameters, and returns an int as specified in the rubric."", ""5"": ""The gcd function correctly computes the greatest common divisor for multiple test cases, including edge cases like (17, 5) and (4, 6), with no logical errors."", ""6"": ""The lcm function correctly calculates the least common multiple for all valid positive integer inputs using the formula and gcd implementation provided.\n\nTOTAL: 100""}",35.9416,100.0,0.0,,,,,0.21568627450980393
19_20-1-1-java,2SBCAEOV,gpt-oss-120b,approach_2,run_1,95.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 12, ""6"": 18}",,True,"{""1"": ""The student provides a gcd function that correctly handles the swap when a\u202f<\u202fb and implements the Euclidean recursion, matching the required structure."", ""2"": ""The gcd function correctly returns b when the remainder r is zero, providing a proper base case for termination."", ""3"": ""Your gcd function correctly computes the remainder and makes a recursive call with smaller arguments (using a swap when needed), so each call progresses toward termination."", ""4"": ""The lcm function is correctly implemented with the proper formula `(a*b)/gcd(a,b)`, defined with two int parameters and returning an int."", ""5"": ""The gcd function works for positive integers but crashes when either argument is zero because it attempts a modulo by zero, so it does not handle all non\u2011negative inputs correctly."", ""6"": ""Your lcm function correctly computes (a*b)/gcd(a,b) and, together with the proper Euclidean gcd implementation, returns the correct least common multiple for all positive integer inputs.""}",11.8495,93.0,2.494438257849294,,,,,0.7647058823529411
19_20-1-1-java,2SBCAEOV,gpt-oss-120b,approach_2,run_2,93.0,"{""1"": 15, ""2"": 8, ""3"": 15, ""4"": 20, ""5"": 17, ""6"": 18}",,True,"{""1"": ""The student provides a gcd function that correctly swaps when a<b, computes the remainder, and recursively returns the base case, matching the required structure."", ""2"": ""The gcd function returns b when the remainder r is zero, which works for most cases, but it never handles the case b == 0, leading to a division\u2011by\u2011zero error instead of a proper base case."", ""3"": ""Your gcd function swaps when a<b and then recurses with gcd(r, b); after the swap this reduces to the usual gcd(b, a%b) pattern, so each call makes progress toward termination."", ""4"": ""The lcm function is correctly defined with two int parameters and returns (a * b) / gcd(a, b), matching the required formula and signature."", ""5"": ""The gcd function correctly implements the Euclidean algorithm and returns the proper GCD for the tested inputs."", ""6"": ""Your lcm function correctly computes (a*b)/gcd(a,b) and the provided gcd implementation works for all positive integers, so it returns the correct LCM.""}",17.421,93.0,2.494438257849294,,,,,0.7647058823529411
19_20-1-1-java,2SBCAEOV,gpt-oss-120b,approach_2,run_3,89.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 6, ""6"": 18}",,True,"{""1"": ""The student provides a gcd function that correctly swaps when a<b and uses the Euclidean algorithm with proper base and recursive cases."", ""2"": ""The gcd function correctly uses the remainder\u2011zero condition (`if (r == 0) return b;`) as the base case, ensuring proper termination of the recursion."", ""3"": ""Your gcd function correctly reduces the problem by swapping when needed and then calling gcd(r,\u202fb) with r = a\u202f%\u202fb, ensuring each recursive step moves toward termination."", ""4"": ""The lcm function is correctly defined with two int parameters and returns (a*b)/gcd(a,b), matching the required formula and structure."", ""5"": ""The gcd function works for positive integers but crashes when either argument is zero because it performs a modulo by zero, so it does not return the correct GCD for all non\u2011negative inputs."", ""6"": ""The lcm function correctly computes (a*b)/gcd(a,b) using the provided Euclidean gcd, yielding the correct least common multiple for all positive integer inputs.""}",13.221,93.0,2.494438257849294,,,,,0.7647058823529411
19_20-1-1-java,2SBCAEOV,qwen3:14b,approach_2,run_1,100.0,"{""1"": 15, ""2"": 15, ""3"": 15, ""4"": 20, ""5"": 17, ""6"": 18}",,True,"{""1"": ""The student implemented a structurally correct gcd function using recursion for swapping and the Euclidean algorithm, matching the sample solution's logic and correctness."", ""2"": ""The GCD function correctly terminates when the remainder r is zero by returning b, which aligns with the Euclidean algorithm's logic as implemented in the sample solution."", ""3"": ""The student's gcd function correctly implements the recursive reduction step by calling gcd(r, b) after computing the remainder, ensuring each recursive call makes progress toward termination by reducing the problem size."", ""4"": ""The student's lcm function correctly implements the formula (a*b)/gcd(a,b) and has the proper structure with two int parameters and an int return type, matching the sample solution's approach."", ""5"": ""The student's implementation of the gcd function correctly uses the Euclidean algorithm with recursive swapping and remainder calculation, matching the sample solution's logic and handling all valid positive integer inputs."", ""6"": ""The student correctly implements both gcd and lcm functions, with the lcm function properly using the mathematical formula (a*b)/gcd(a,b) and the gcd function correctly applying the Euclidean algorithm with parameter swapping.""}",157.5292,100.0,8.48528137423857,,,,,0.27450980392156865
