student_id,question_id,solution
mut_correct,19_20-1-1-java,"int gcd(int a, int b) {
    if (a < b) { int tmp = a; a = b; b = tmp; }
    int r = a % b;
    if (r == 0) return b;
    return gcd(r, b);
}

int lcm(int a, int b) {
    return (a * b) / gcd(a, b);
}
"
mut_semi,19_20-1-1-java,"// GCD is correct but LCM forgets to divide by gcd
int gcd(int a, int b) {
    if (b == 0) return a;
    return gcd(b, a % b);
}

int lcm(int a, int b) {
    return a * b;
}
"
mut_wrong,19_20-1-1-java,"// Trivial stubs
int gcd(int a, int b) {
    return 1;
}

int lcm(int a, int b) {
    return a;
}
"
mut_correct,19_20-1-1-python,"def GCD(a, b):
    if a < b:
        a, b = b, a
    r = a % b
    if r == 0:
        return b
    return GCD(r, b)

def LCM(a, b):
    return a * b // GCD(a, b)
"
mut_semi,19_20-1-1-python,"# GCD works but LCM forgets to divide
def GCD(a, b):
    if b == 0:
        return a
    return GCD(b, a % b)

def LCM(a, b):
    return a * b
"
mut_wrong,19_20-1-1-python,"# Trivial stubs
def GCD(a, b):
    return 1

def LCM(a, b):
    return a
"
mut_correct,19_20-2-1-java,"public class Queue {
    private int start = 0;
    private int end = 0;
    private String[] buffer = new String[100];

    public boolean emptyqueue() { return start == end; }
    public String head() { return buffer[start]; }
    public void enqueue(String s) {
        buffer[end] = s;
        end++;
        if (end == 100) end = 0;
    }
    public String dequeue() {
        String s = buffer[start];
        start++;
        if (start == 100) start = 0;
        return s;
    }
}
"
mut_semi,19_20-2-1-java,"// dequeue() does NOT remove the front element
public class Queue {
    private java.util.ArrayList<String> list = new java.util.ArrayList<>();

    public boolean emptyqueue() { return list.isEmpty(); }
    public String head() { return list.get(0); }
    public void enqueue(String s) { list.add(s); }
    public String dequeue() { return list.get(0); }
}
"
mut_wrong,19_20-2-1-java,"// Stub that only ever stores the most recent element
public class Queue {
    private String last;

    public boolean emptyqueue() { return last == null; }
    public String head() { return last; }
    public void enqueue(String s) { last = s; }
    public String dequeue() { String s = last; last = null; return s; }
}
"
mut_correct,19_20-2-1-python,"class Queue:
    def __init__(self):
        self.lst = []

    def isEmpty(self):
        return len(self.lst) == 0

    def head(self):
        if not self.isEmpty():
            return self.lst[0]
        return None

    def enqueue(self, x):
        self.lst.append(x)

    def dequeue(self):
        if not self.isEmpty():
            return self.lst.pop(0)
        raise IndexError
"
mut_semi,19_20-2-1-python,"# dequeue() does NOT remove the front element
class Queue:
    def __init__(self):
        self.lst = []

    def isEmpty(self):
        return len(self.lst) == 0

    def head(self):
        return self.lst[0]

    def enqueue(self, x):
        self.lst.append(x)

    def dequeue(self):
        return self.lst[0]
"
mut_wrong,19_20-2-1-python,"# Stub that only ever stores the most recent element
class Queue:
    def __init__(self):
        self.last = None

    def isEmpty(self):
        return self.last is None

    def head(self):
        return self.last

    def enqueue(self, x):
        self.last = x

    def dequeue(self):
        v = self.last
        self.last = None
        return v
"
